#Variantes versión 3.4
#Catálogo 8 (Grado de estudios)
Sin instrucción, sin educación, sin ningún grado de estudio, No tengo estudios
No tengo estudios, Sin instrucción, sin educación, sin ningún grado de estudio
Saber leer, leer, comprensión de lectura
Saber escribir, escribir, escritura
Primaria, escuela primaria
Alimentos marinos en servicios gastronómicos, Alimentos del mar en servicios gastronómicos

Industria de la panificación, Industria del pan, Panificadora
Industria decorativa, Industria de la decoración 
Industria de la carne, Industria productora de carne 
Industria pesquera, Industria de la pesca

Conservación de alimentos, Conservación alimentaria 
Conservación del patrimonio edificado, Conservación de edificios patrimoniales

Bordado en máquina, Bordado automatizado en máquina

Confección industrial de ropa, Confección en la industria de la ropa 

Historia del vestido, Industria del vestido en la historia

Sastrería industrial, Industria de la sastrería

#Términos con "OPERADOR" se movieron a referenciales

Piloto aviador, Piloto de aviación
Piloto comercial, Piloto de línea comercial
Piloto aeroagrícola, Piloto en la industria agrícola
Piloto aviador comercial, Piloto de aviación comercial
Piloto aviador militar, Piloto de aviación militar
Piloto comercial ala fija, Piloto comercial de ala fija

Telecomunicaciones de ferrocarril, Telecomunicaciones en la industria ferroviaria

Artesanías manuales, Artesanías hechas a mano
Artesanías de precisión, Artesanías de técnica especializada

Arte decorativo, Arte de la decoración
Arte dramático, Arte histriónico
Arte teatral, Arte del teatro
Arte contemporáneo, Arte reciente
Arte contemporáneo en México, Arte reciente en México

Cosmetología esteticista, Cosmetología en estética

Estilista cosmetológica, Estilista cosmetóloga
Estilista en cortes, Estilista especializada en cortes
Estilista facial, Estilista del rostro
Estilista profesional, Estilista de profesión
Estilista de canes, Estilista de perros

#Términos "Ingeniería" se movieron a referenciales

Procesos computacionales, Procesos de computación
Procesos de fabricación, Procesos de fábrica 
Procesos de producción industrial, Procesos de producción en la industria 
Procesos de producción pesquera, Procesos de producción en la pesca 
Procesos industriales, Procesos en la industria, Ingeniero procesos industriales 
Procesos agroindustriales, Procesos en la industria agrícola 
Procesos de producción, Procesos productivos 
Procesos de producción en el área metálica, Procesos de producción especializados en el área metálica 
Procesos de producción textil, Procesos de producción en la industria textil 
Procesos biotecnológicos, Procesos de biotecnología 
Procesos alimenticios, Procesos en la industria alimenticia

Mantenimiento de aeronaves sistemas eléctricos, Mantenimiento de sistemas eléctricos en aeronaves 
Mantenimiento de aviación, Mantenimiento de aviones 
Mantenimiento de equipo grafico especialidad en mantenimiento mecánico, Mantenimiento de equipo gráfico especializado en mantenimiento mecánico 
Mantenimiento de equipo médico de laboratorio, Mantenimiento de equipo médico en laboratorio 
Mantenimiento de equipo médico de quimioterapia, Mantenimiento de equipo quimioterapéutico 
Mantenimiento de equipo médico de rayos x, Mantenimiento de aparato de rayos x 
Mantenimiento de equipo médico electrónico, Mantenimiento de equipo electrónico en medicina 
Mantenimiento de equipos pesqueros, Mantenimiento de equipos de pesca 
Mantenimiento de máquinas industriales de costura, Mantenimiento de máquinas de costura industrial, Mantenimiento para máquinas de la industria costurera
Mantenimiento industrial, Mantenimiento en la industria
Mantenimiento mecánico industrial, Mantenimiento mecánico en la industria
Mantenimiento de equipo agroindustrial, Mantenimiento de equipo de la industria agrícola 
Mantenimiento de equipo médico quirúrgico, Mantenimiento de equipo quirúrgico en medicina 
Mantenimiento de sistemas automáticos, Mantenimiento de sistemas automatizados 
Mantenimiento de equipo de cómputo, Mantenimiento de equipo computacional 
Mantenimiento automotriz, Mantenimiento en la industria automotriz
Mantenimiento en la industria del calzado, Mantenimiento especializado en la industria del calzado

Mecánico aparatista, Mecánico de aparatos 
Mecánico de aviación, Mecánico de aviones, Mecánico de equipos de aviación
Mecánico electricista, Mecánico especializado en electricidad
Mecánico industrial, Mecánico especializado en procesos industriales 
Mecánico fundidor, Mecánico especializado en fundición

Análisis de alimentos, Análisis alimentario 
Análisis químico biológicos, Análisis en área química biológica 
Análisis clínicos, Análisis de clínica 
Análisis regional, Análisis de las regiones 
Análisis de sistemas industriales, Análisis de sistemas en la industria
Análisis de sistemas computacionales, Análisis de sistemas de cómputo

Control automático, Control automatizado 
Control de calidad, Control cualitativo 
Control de medio ambiente, Control ambiental 
Control de producción, Control de índices de producción 
Control de la contaminación ambiental, Control de la contaminación en el medio ambiente 

Dirección de ediciones en procesos editoriales, Dirección de ediciones especializada en procesos editoriales 
Dirección gráfica, Dirección de gráficos 
Dirección coral, Dirección de coro 
Dirección teatral, Dirección de teatro 
Dirección de organizaciones, Dirección organizativa 
Dirección ejecutiva de negocios, Dirección ejecutiva especializada en negocios 
Dirección financiera, Dirección de finanzas

Impresión en huecograbado, Impresión especializada en huecograbado
Impresión offset, Impresión en formato offset

Industrialización de frutas, Industrialización de productos frutales 
Industrialización de lácteos, Industrialización de productos lácteos 
Industrialización de producción agropecuaria, Industrialización especializada en producción agropecuaria

Manufactura aislada por computadora, Manufactura aislada por equipo de cómputo
Manufactura de artículos de plástico, Manufactura de artículos plásticos
Manufacturas metálicas, Manufacturas en metal

Maquinas con sistemas automatizados, Máquinas con sistemas automáticos

Procesamiento de productos pesqueros, Procesamiento de productos de pesca
Procesamiento industrial de alimentos, Procesamiento industrial alimentaria

Productividad industrial, Productividad en la industria 
Productividad agrícola, Productividad en la industria agrícola 
Productividad agropecuaria, Productividad en la industria agropecuaria 
Productividad de agroecosistemas, Productividad en agroecosistemas

Tecnología de construcciones metálicas, Tecnología aplicada a construcciones metálicas 
Tecnología de la madera, Tecnología aplicada a la industria maderera 
Tecnología de alimentos, Tecnología alimentaria, 
Tecnología deportiva, Tecnología en el deporte 
Tecnología de la arquitectura, Tecnología aplicada en la arquitectura 
Tecnología ambiental, Tecnología del medio ambiente 
Tecnología de enzimas, Tecnología enzimática 
Tecnología del petróleo, Tecnología petrolera 
Tecnología de informática, Tecnología informática

Oficial de máquinas, Oficial a cargo de maquinaria 
Oficial de infantería, Oficial a cargo de infantería 
Oficial militar de guerra, Oficial de guerra, Oficial militar 
Oficial de estadísticas, Oficial a cargo de estadística 
Oficial eléctrico, Oficial especializado en electricidad 
Oficial radio operador, Oficial a cargo de comunicación radial
Oficial ministerio público, Oficial del ministerio público 
Oficial de barco, Oficial de embarcación
Oficial de sanidad, Oficial sanitario

Instrucción militar, Instrucción en el ejército
Instrucción militar de nivel medio superior, Instrucción militar en nivel medio superior 
Instrucción policial, Instrucción policiaca 
Instrucción policial de nivel medio superior, Instrucción policial en nivel medio superior

Agente de policía, Agente policiaco 
Agente de policía federal, Agente policiaco federal 
Agente de seguros, Agente de empresa de seguros 
Agente aduanal, Agente de aduanas 
Agente fiscal, Agente del fisco

Detective privado, Detective particular

Enseñanza de la fotografía, Enseñanza fotográfica, Educación fotográfica 
Enseñanza musical escolar, Enseñanza musical en la escuela, Educación musical escolar
Enseñanza de la educación básica, Enseñanza básica en educación 
Enseñanza de la matemáticas, Enseñanza matemática, Educación matemática 
Enseñanza de las ciencias, Enseñanza científica, Educación científica
Enseñanza de las ciencias químicas, Enseñanza especializada en la ciencia química 
Enseñanza de las matemáticas en computación educativa, Enseñanza matemática en computación educativa 
Enseñanza del idioma inglés, Enseñanza del inglés 
Enseñanza turística, Enseñanza del turismo, Educación turística

#Términos "Técnico" y "Ciencias" en referenciales

Desarrollo de instituciones educativas, Desarrollo en instituciones educativas  
Desarrollo agrícola, Desarrollo en la industria agrícola
Desarrollo agropecuario, Desarrollo de la industria agropecuaria
Desarrollo rural, Desarrollo en el ámbito rural 
Desarrollo comunitario, Desarrollo de la comunidad
Desarrollo cultural comunitario, Desarrollo de la cultura en comunidad 
Desarrollo económico, Desarrollo de la economía 
Desarrollo empresarial, Desarrollo en las empresas 
Desarrollo organizacional, Desarrollo de las organizaciones 
Desarrollo regional, Desarrollo de las regiones 
Desarrollo rural en organización social, Desarrollo rural especializado en organización social 
Desarrollo rural regional en manejo de recursos, Desarrollo rural regional especializado en manejo de recursos 
Desarrollo rural regional en mercados, Desarrollo rural regional especializado en mercados 
Desarrollo social, Desarrollo de la sociedad 
Desarrollo humano en la educación, Desarrollo humano especializado en la educación 
Desarrollo humano en la organización, Desarrollo humano especializado en la organización 
Desarrollo humano en la salud, Desarrollo humano especializado en la salud
Desarrollo turístico, Desarrollo del turismo 
Desarrollo de la educación básica, Desarrollo aplicado en la educación básica 
Desarrollo docente, Desarrollo de personal docente
Desarrollo educativo en diversidad sociocultural, Desarrollo educativo especializado en diversidad sociocultural
Desarrollo educativo en enseñanza de las ciencias naturales, Desarrollo educativo especializado en enseñanza de las ciencias naturales 
Desarrollo educativo en gestión pedagógica, Desarrollo educativo especializado en gestión pedagógica
Desarrollo educativo en historia, Desarrollo educativo especializado en historia
Desarrollo educativo en lengua, Desarrollo educativo especializado en lengua
Desarrollo educativo en prácticas curriculares en la formación docente, Desarrollo educativo especializado en prácticas curriculares en la formación docente

Comercialización agroindustrial, Comercialización en la industria agrícola

Contaduría administrativa, Contaduría especializada en administración 
Contaduría en área agrícola, Contaduría especializada en área agrícola 
Contaduría en auditoria, Contaduría especializada en auditoría 
Contaduría en contaduría general, Contaduría especializada en contaduría general 
Contaduría en estadística, Contaduría especializada en estadística 
Contaduría en impuestos, Contaduría especializada en impuestos 
Contaduría en investigación de operaciones, Contaduría especializada en investigación de operaciones 
Contaduría en sistemas de computación, Contaduría especializada en sistemas de computación
Contaduría en sistemas funcionales de las empresas, Contaduría especializada en sistemas funcionales de las empresas
Contaduría pública estatal, Contaduría pública del estado 
Contaduría pública en auditoria, Contaduría pública especializada en auditoría 
Contaduría pública en finanzas, Contaduría pública especializada en finanzas 
Contaduría pública en impuestos, Contaduría pública especializada en impuestos 
Contaduría pública en sistemas de información administrativa, Contaduría pública especializada en sistemas de información administrativa

Organización turística, Organización de la industria turística 
Organización turística internacional, Organización de la industria turística internacional
Organización de procesos productivos, Organización de procesos de producción 
Organización de promoción de proyectos, Organización promocional de proyectos 
Organización de proyectos productivos, Organización de proyectos de producción

Mercadotecnia en actualización internacional, Mercadotecnia especializada en actualización internacional
Mercadotecnia en prensa, Mercadotecnia especializada en prensa 
Mercadotecnia en radio, Mercadotecnia especializada en radio 
Mercadotecnia en negocios turísticos, Mercadotecnia especializada en negocios turísticos

Pedagogía diferencial en necesidades múltiples, Pedagogía diferencial especializada en necesidades múltiples 
Pedagogía en ciencias naturales, Pedagogía especializada en ciencias naturales  
Pedagogía en ciencias sociales, Pedagogía especializada en ciencias sociales 
Pedagogía en español, Pedagogía especializada en español 
Pedagogía en inglés, Pedagogía especializada en inglés 
Pedagogía en matemáticas, Pedagogía especializada en matemáticas
Pedagogía en orientación vocacional, Pedagogía especializada en orientación vocacional
Pedagogía en planeación, Pedagogía especializada en planeación 
Pedagogía en psicopedagogía, Pedagogía especializada en psicopedagogía 
Pedagogía en teoría, Pedagogía especializada en teoría 
Pedagogía musical, Pedagogía especializada en música 
Pedagogía universitaria, Pedagogía a nivel universitario

Finanzas corporativas, Finanzas en el ámbito corporativo
Finanzas internacionales, Finanzas en el ámbito internacional 
Finanzas públicas, Finanzas en el ámbito público

Docencia tecnológica, Docencia especializada en tecnología
Docencia universitaria, Docencia a nivel universitario
Docencia de la cultura física, Docencia especializada en cultura física
Docencia de la educación tecnológica, Docencia especializada en educación tecnológica
Docencia de las matemáticas, Docencia especializada en matemáticas 
Docencia en ciencias de la salud, Docencia especializada en ciencias de la salud 
Docencia en ciencias sociales, Docencia especializada en ciencias sociales
Docencia en educación en formación docente, Docencia especializada en educación en formación docente
Docencia en educación superior, Docencia especializada en educación superior 
Docencia en intervención pedagógica, Docencia especializada en intervención pedagógica 
Docencia en medicina, Docencia especializada en medicina

Oceanografía biológica, Oceanografía en biología 
Oceanografía física, Oceanografía en física
Oceanografía geológica, Oceanografía en geología
Oceanografía química, Oceanografía en química

#"Agronomía" pasa a referenciales

Horticultura comercial, Horticultura dedicada al comercio 
Horticultura en agronegocios, Horticultura especializada en agronegocios 
Horticultura en floricultura, Horticultura especializada en floricultura 
Horticultura en fruticultura, Horticultura especializada en fruticultura
Horticultura en hortalizas, Horticultura especializada en hortalizas  
Horticultura en oleicultura, Horticultura especializada en oleicultura 
Horticultura tropical, Horticultura en el trópico 
Horticultura ambiental, Horticultura del medio ambiente

Parasitología agrícola, Parasitología en la industria agrícola
Parasitología animal, Parasitología en animales 
Parasitología entomológica, Parasitología en insectos 
Parasitología fitonematologica, Parasitología en fitonematología
Parasitología helmintológica, Parasitología en helmintología

Protección vegetal, Protección de la vegetación
Protección vegetal en control de malezas, Protección vegetal especializada en control de malezas
Protección vegetal en entomología, Protección vegetal especializada en entomología
Protección vegetal en fitopatología, Protección vegetal especializada en fitopatología

Ciencia animal, Ciencia aplicada a animales 
Ciencia animal tropical, Ciencias aplicada a animales del trópico 
Ciencia de la carne, Ciencia de la industria de la carne 

Medicina preventiva animal, Medicina preventiva para animales
Medicina veterinaria patología de aves, Medicina veterinaria especializada en patología de aves 
Medicina veterinaria en administración, Medicina veterinaria especializada en administración
Medicina veterinaria en patología, Medicina veterinaria especializada en patología
Medicina alópata, Medicina terapéutica
Medicina humana, Medicina para humanos
Medicina natural, Medicina naturista, 
Medicina de rehabilitación, Medicina especializada en rehabilitación 
Medicina del deporte, Medicina especializada en deporte
Medicina del enfermo en estado crítico, Medicina especializada en enfermos críticos
Medicina del trabajo, Medicina laboral 
Medicina en patología celular, Medicina especializada en patología celular 
Medicina escolar, Medicina en instituciones educativas 
Medicina familiar, Medicina de la familia 
 
Microbiología veterinaria, Microbiología especializada en veterinaria
Microbiología industrial, Microbiología en la industria

Nutrición animal, Nutrición para animales
Nutrición humana, Nutrición para humanos

Agroforesteria para el desarrollo sostenible en arboles de uso múltiple, Agroforesteria para el desarrollo sostenible especializada en árboles de uso múltiple
Agroforesteria para el desarrollo sostenible en diseño, Agroforesteria para el desarrollo sostenible especializada en diseño 
Agroforesteria para el desarrollo sostenible en economía ambiental, Agroforesteria para el desarrollo sostenible especializada en economía ambiental 
Agroforesteria para el desarrollo sostenible en interacción de componentes, Agroforesteria para el desarrollo sostenible especializada en interacción de componentes 

Arquitectura bioclimática, Arquitectura especializada en bioclimática
Arquitectura en administración de la construcción, Arquitectura especializada en administración de la construcción
Arquitectura en conservación de asentamientos históricos, Arquitectura especializada en conservación de asentamientos históricos 
Arquitectura en conservación del patrimonio arquitectónico, Arquitectura especializada en conservación del patrimonio arquitectónico 
Arquitectura en construcción, Arquitectura especializada en construcción 
Arquitectura en diseño, Arquitectura especializada en diseño 
Arquitectura en diseño urbano, Arquitectura especializada en diseño urbano 
Arquitectura en medio ambiente, Arquitectura especializada en medio ambiente 
Arquitectura en restauración, Arquitectura especializada en restauración 
Arquitectura en tecnología, Arquitectura especializada en tecnología 
Arquitectura en administración de obras, Arquitectura especializada en administración de obras 
Arquitectura en asentamientos humanos, Arquitectura especializada en asentamientos humanos 
Arquitectura en desarrollo, Arquitectura especializada en desarrollo 
Arquitectura en diseño de interiores, Arquitectura especializada en diseño de interiores
Arquitectura en diseño gráfico, Arquitectura especializada en diseño gráfico 
Arquitectura en diseño industrial, Arquitectura especializada en diseño industrial 
Arquitectura en diseño urbano, Arquitectura especializada en diseño urbano 
Arquitectura en elementos de restauración, Arquitectura especializada en elementos de restauración 
Arquitectura en estructuras, Arquitectura especializada en estructuras 
Arquitectura en planeación, Arquitectura especializada en planeación 
Arquitectura en proyectos, Arquitectura especializada en proyectos 
Arquitectura en realización, Arquitectura especializada en realización
Arquitectura en terminales de transportes, Arquitectura especializada en terminales de transportes 
Arquitectura en viviendas, Arquitectura especializada en viviendas 
Arquitectura naval, Arquitectura especializada en la industria naval

Investigación arquitectónica, Investigación especializada en arquitectura 
Investigación del patrimonio cultural, Investigación especializada en patrimonio cultural 
Investigación biomédica, Investigación especializada en biomedicina 
Investigación biomédica básica, Investigación especializada en biomedicina básica 
Investigación biométrica básica, Investigación especializada en biometría básica
Investigación de servicios de salud, Investigación especializada en servicios de salud 
Investigación antropológica, Investigación especializada en antropología 
Investigación en psicología aplicada a la educación, Investigación especializada en psicología aplicada a la educación
Investigación psicoanalítica, Investigación especializada en psicoanálisis 
Investigación psicológica, Investigación especializada en psicología 
Investigación educativa, Investigación especializada en educación 
Investigación en ciencias de la educación, Investigación especializada en ciencias de la educación

Planeación metropolitana, Planificación metropolitana 
Planeación urbana, Planificación urbana
Planeación urbana regional, Planeación urbana en el ámbito regional 
Planeación rural, Planeación en el ámbito rural  
Planeación de obras, Planeación de obras públicas 
Planeación agropecuaria, Planeación en la industria agropecuaria 
Planeación de empresas, Planeación empresarial 
Planeación financiera, Planeación de finanzas
Planeación industrial, Planificación industrial

Planificación de asentamientos humanos, Planeación de asentamiento humano
Planificación regional, Planificación de regiones 
Planificación para el desarrollo agropecuario, Planificación para el desarrollo de la industria agropecuaria 
Planificación de empresas de desarrollo regional, Planificación empresarial de desarrollo regional
Planificación del desarrollo regional, Planificación especializada en desarrollo regional 
Planificación industrial en sector privado, Planificación industrial especializada en sector privado 
Planificación industrial en sector público, Planificación industrial especializada en sector público

Restauración arquitectónica, Restauración en arquitectura 
Restauración arquitectónica de bienes culturales, Restauración arquitectónica especializada en bienes culturales 
Restauración de arquitectura prehispánica, Restauración arquitectónica de la época prehispánica 
Restauración de monumentos, Restauración especializada en monumentos 
Restauración de sitios, Restauración especializada en sitios 
Restauración forestal, Restauración de bosques

Teoría de la arquitectura, Teoría arquitectónica 
Teoría psicoanalítica, Teoría del psicoanálisis

Biología animal, Biología de los animales 
Biología celular, Biología de las células
Biología de la producción, Biología productiva 
Biología de la reproducción, Biología reproductiva 
Biología de la reproducción animal, Biología reproductiva en animales 
Biología de la reproducción humana, Biología reproductiva en humanos
Biología del deporte, Biología especializada en el deporte
Biología marina, Biología del mar 
Biología molecular, Biología de las moléculas 
Biología molecular en ingeniería genética, Biología molecular especializada en ingeniería genética 
Biología molecular en medicina, Biología molecular especializada en medicina 
Biología agropecuaria, Biología en la industria agropecuaria
Biología bromatológica, Biología especializada en bromatología 
Biología científica en biofísica, Biología científica especializada en biofísica 
Biología científica en bioquímica, Biología científica especializada en bioquímica
Biología científica en botánica, Biología científica especializada en botánica 
Biología científica en microbiología, Biología científica especializada en microbiología 
Biología científica en morfología, Biología científica especializada en morfología 
Biología científica en parasitología, Biología científica especializada en parasitología 
Biología científica en química, Biología científica especializada en química 
Biología científica en zoología, Biología científica especializada en zoología
Biología en acuacultura, Biología especializada en acuacultura 
Biología en agroecología, Biología especializada en agroecología 
Biología en biomédica, Biología especializada en biomédica 
Biología en bioquímica, Biología especializada en bioquímica 
Biología en botánica, Biología especializada en botánica 
Biología en ecología, Biología especializada en ecología 
Biología en ecología acuática, Biología especializada en ecología acuática 
Biología en ecología terrestre, Biología especializada en ecología terrestre
Biología en ecosistemas terrestres, Biología especializada en ecosistemas terrestres 
Biología en farmacología, Biología especializada en farmacología 
Biología en fisiología, Biología especializada en fisiología 
Biología en hidrobiología, Biología especializada en hidrobiología 
Biología en limnologia, Biología especializada en limnología 
Biología en manejo de recursos naturales, Biología especializada en manejo de recursos naturales 
Biología en recursos renovables, Biología especializada en recursos renovables 
Biología en zoología, Biología especializada en zoología 

Biotecnología agropecuaria, Biotecnología en la industria agropecuaria 
Biotecnología de la nutrición de rumiantes, Biotecnología especializada en nutrición de rumiantes 
Biotecnología de plantas, Biotecnología especializada en plantas 
Biotecnología en fermentaciones, Biotecnología especializada en fermentaciones 
Biotecnología en procesos vegetales, Biotecnología especializada en procesos vegetales 
Biotecnología en alimentos, Biotecnología especializada en alimentos
Biotecnología en bioquímica industrial, Biotecnología especializada en bioquímica industrial 
Biotecnología en desarrollo de productos, Biotecnología especializada en desarrollo de productos 

Ecología básica, Ecología a nivel básico 
Ecología forestal, Ecología de los bosques 
Ecología marina, Ecología del mar 
Ecología humana, Ecología del ser humano

Manejo ambiental, Manejo del medio ambiente 
Manejo de ecosistemas en zonas áridas, Manejo de ecosistemas en regiones áridas
Manejo de recursos naturales, Manejo de recursos de la naturaleza 
Manejo sustentable de los recursos naturales, Manejo sustentable de los recursos de la naturaleza 

Meteorólogo militar, Meteorólogo del ejército

Oceanologia física, Oceanología especializada en física
Oceanologia química, Oceanología especializada en química

Zootecnia en administración, Zootecnia especializada en administración
Zootecnia en ganadería extensiva, Zootecnia especializada en ganadería extensiva
Zootecnia en industrias agropecuarias, Zootecnia especializada en industrias agropecuarias 
Zootecnia en nutrición animal, Zootecnia especializada en nutrición animal
Zootecnia en sistemas de producción, Zootecnia especializada en sistemas de producción

Pesca industrial, Pesca en la industria 
Pesca deportiva, Pesca recreativa

Médico cirujano, Médico con especialidad en cirugía 
Médico cirujano naval, Médico con especialidad en cirugía naval 
Médico homeópata, Médico con especialidad en homeopatía

Terapia de la audición, Terapia auditiva
Terapia del lenguaje, Terapia lingüística
Terapia en comunicación humana, Terapia especializada en comunicación humana
Terapia física, Terapia corporal
Terapia respiratoria, Terapia especializada en la respiración 
Terapia de juego aplicada a problemas emocionales, Terapia lúdica aplicada a problemas emocionales 
Terapia de pareja, Terapia de relaciones de pareja 
Terapia familiar, Terapia de relaciones familiares 
Terapia familiar sistémica, Terapia sistémica de relaciones familiares 

Odontología en anatomía dental, Odontología especializada en anatomía dental 
Odontología en cirugía dental, Odontología especializada en cirugía dental 
Odontología en endodoncia, Odontología especializada en endodoncia 
Odontología en exodoncia, Odontología especializada en exodoncia 
Odontología en histología dental, Odontología especializada en histología dental 
Odontología en material dental, Odontología especializada en material dental
Odontología en medicina estomatológica, Odontología especializada en medicina estomatológica 
Odontología en oclusión dental, Odontología especializada en oclusión dental 
Odontología en operatoria dental, Odontología especializada en operatoria dental 
Odontología en ortodoncia, Odontología especializada en ortodoncia 
Odontología en paradoncia, Odontología especializada en paradoncia 
Odontología en periodoncia, Odontología especializada en periodoncia 
Odontología en radiología, Odontología especializada en radiología 
Odontología maxilofacial, Odontología especializada en cirugía maxilofacial 

Biomedicina en apoyo hospitalario, Biomedicina especializada en apoyo hospitalario
Biomedicina en desarrollo tecnológico, Biomedicina especializada en desarrollo tecnológico 
Biomedicina en ingeniería clínica, Biomedicina especializada en ingeniería clínica 
Biomedicina en instrumentación médica eléctrica, Biomedicina especializada en instrumentación médica eléctrica 
Biomedicina en instrumentación médica mecánica, Biomedicina especializada en instrumentación médica mecánica 

Filosofía de la ciencia, Filosofía científica 
Filosofía social, Filosofía en el ámbito social 
Filosofía política, Filosofía en el ámbito político

Humanidades en filosofía, Humanidades especializadas en filosofía 
Humanidades en historia, Humanidades especializadas en historia 
Humanidades en lingüística, Humanidades especializadas en lingüística 
Humanidades en literatura, Humanidades especializadas en literatura 

Historia antigua, Historia de la antigüedad 
Historia de México, Historia mexicana 
Historia económica, Historia de la economía 
Historia moderna, Historia de la época moderna 
Historia contemporánea, Historia de la época contemporánea 
Historia de las artes plásticas, Historia con especialidad en artes plásticas 
Historia antigua medieval, Historia antigua del medioevo 
Historia colonial, Historia de la colonia
Historia de la arquitectura mexicana, Historia de la arquitectura en México 
Historia de la ciencia, Historia científica 
Historia del catolicismo en México, Historia del catolicismo mexicano 
Historia del cristianismo en América Latina, Historia del cristianismo latinoamericano
Historia del México actual, Historia de México en la actualidad 
#Historia en divulgación de la historia, Historia especializada en divulgación de la historia 
Historia en docencia, Historia en divulgación de la historia
Historia en estudios latinoamericanos, Historia especializada en estudios latinoamericanos 
Historia en historia de Chiapas, Historia especializada en historia de Chiapas 

Antropología cultural, Antropología de la cultura 
Antropología en arqueología, Antropología especializada en arqueología 
Antropología en cultura popular, Antropología especializada en cultura popular 
Antropología en etnohistoria, Antropología especializada en etnohistoria 
Antropología en etnología, Antropología especializada en etnología
Antropología en historia, Antropología especializada en historia
Antropología física, Antropología especializada en física 
Antropología lingüística, Antropología especializada en lingüística
Antropología política, Antropología especializada en política 
Antropología rural, Antropología en el ámbito rural 
Antropología social en antropología de la educación, Antropología social especializada en antropología de la educación 
Antropología social en antropología del desarrollo, Antropología social especializada en antropología del desarrollo 
Antropología social en antropología política, Antropología social especializada en antropología política 
Antropología social en antropología rural, Antropología social especializada en antropología rural 
Antropología social en antropología urbana, Antropología social especializada en antropología urbana 
Antropología social en etnología, Antropología social especializada en etnología 
Antropología social en sociolingüística, Antropología social especializada en sociolingüística 
Antropología urbana, Antropología metropolitana
Antropología cultural, Antropología de la cultura 

Letras bíblicas, Letras de la biblia 
Letras españolas, Letras en lengua española 
Letras en lingüística hispánica, Letras especializadas en lingüística hispánica 
Letras en literatura española, Letras especializadas en literatura española
Letras en literatura iberoamericana, Letras especializadas en literatura iberoamericana 
Letras en literatura mexicana, Letras especializadas en literatura mexicana 

Literatura clásica, Literatura clásica de la antigüedad, Literatura grecolatina
Literatura dramática, Literatura teatral 
Literatura hispano mexicana, Literatura hispánica en México 
Literatura iberoamericana, Literatura de Iberoamérica 
Literatura latinoamericana, Literatura de Latinoamérica
Literatura mexicana, Literatura de México 
Literatura de Hispanoamérica, Literatura hispanoamericana 
Literatura del siglo XX, Literatura especializada en el siglo XX 

Psicología conductual, Psicología de la conducta
Psicología criminológica, Psicología especializada en el crimen
Psicología de la adolescencia, Psicología especializada en la adolescencia
Psicología de la conducta social, Psicología especializada en la conducta social
Psicología del factor humano, Psicología especializada en factor humano
Psicología del trabajo, Psicología especializada en el trabajo
Psicología en análisis conductual, Psicología especializada en análisis de la conducta
Psicología en área deportiva, Psicología especializada en deporte
Psicología en orientación educativa, Psicología especializada en orientación educativa
Psicología en orientación vocacional, Psicología especializada en orientación vocacional
Psicología familiar, Psicología de la familia
Psicología fisiológica, Psicología del cuerpo
Psicología industrial, Psicología de la industria, Psicología para la industria
Psicología infantil, Psicología de la niñez
Psicología organizacional, Psicología organizacional empresarial
Psicología pedagógica, Psicología en pedagogía
Psicología psicofisiológica, Psicología especializada en psicofisiología
Psicología social, Psicología especializada en la sociedad
Psicología en educación especial, Psicología especializada en educación especial
Psicología ambiental, Psicología especializada en el medio ambiente
Psicología clínica con orientación psicoanalítica, Psicología clínica orientada al psicoanálisis
Psicología clínica de infantes, Psicología clínica especializada en infantes
Psicología clínica en salud pública, Psicología clínica especializada en salud pública
Psicología clínica infantil, Psicología clínica especializada en infancia
Psicología comunitaria, Psicología de la comunidad
Psicología de la educación en perspectiva psicoanalítica, Psicología de la educación especializada en perspectiva psicoanalítica 
Psicología de la educación en perspectiva psicogenética, Psicología de la educación especializada en perspectiva psicogenética
Psicología de la educación en preescolar, Psicología de la educación especializada en preescolar
Psicología del adolescente, Psicología en adolescencia
Psicología del deporte, Psicología deportiva
Psicología en acentuación clínica, Psicología especializada en acentuación clínica 
Psicología en psicología clínica, Psicología especializada en psicología clínica
Psicología en salud mental, Psicología especializada en salud mental
Psicología en salud mental ocupacional, Psicología especializada en salud mental ocupacional
Psicología general experimental en psicología de la salud, Psicología general experimental especializada en psicología de la salud
Psicología gestalt, Psicología de sistema gestalt
Psicología social de grupos, Psicología social especializada en grupos
Psicología terapéutica, Psicología especializada en terapia

Psicopedagogía educativa, Psicopedagogía en instituciones educativas 
Psicopedagogía integral, Psicopedagogía de integración

Química agrícola, Química en la industria agrícola 
Química en administración, Química especializada en administración 
Química en alimentos, Química especializada en alimentos 
Química en metalurgia, Química especializada en metalurgia 
Química en petróleo, Química especializada en petróleo 
Química industrial, Química en la industria 
Química farmacéutica biológica, Química farmacéutica con especialidad en biología 
Química en análisis clínicos, Química especializada en análisis clínicos
Química en procesos de producción, Química especializada en procesos de producción 

Químico bacteriólogo, Químico en bacteriología, Químico con especialidad en bacteriología 
Químico biólogo, Químico en biología, Químico con especialidad en biología 
Químico biólogo agropecuario, Químico en biología agropecuaria, Químico con especialidad en biología agropecuaria  
